average_charge_normal,tenure_bins,PhoneService_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MonthlyCharges_normal,TotalCharges_log,Churn_Yes
0.2458813838550247,0,0,0,0,0,1,0,0.11542288557213931,3.396184839838611,0
0.45777207093710626,5,1,1,0,0,0,1,0.3850746268656717,7.544067522789543,0
0.44542833607907745,0,1,0,0,0,0,1,0.35422885572139307,4.683519152399068,1
0.3369485630605894,6,0,1,0,0,0,0,0.23930348258706466,7.517928376248826,0
0.6245881383855024,0,1,0,0,0,1,0,0.5218905472636817,5.02157523413459,1
0.844831136738056,2,1,0,0,0,1,0,0.809950248756219,6.709913910530146,1
0.7298936648195297,4,1,0,0,1,0,0,0.7049751243781094,7.57527691190311,0
0.24868204283360787,2,0,0,0,0,0,1,0.11442786069651742,5.710095836712793,0
0.8961079077429984,4,1,0,0,0,1,0,0.8611940298507462,8.021600948290835,1
0.4634041026731147,8,1,1,0,0,0,0,0.3771144278606965,8.157069450063739,0
0.3722278545178051,3,1,0,0,0,0,1,0.3154228855721393,6.375791136013581,0
0.16824546952224054,3,1,0,1,1,0,0,0.006965174129353227,5.789348362985848,0
0.806836902800659,7,1,1,0,1,0,0,0.8169154228855721,8.64490015493697,0
0.8466361833036344,6,1,0,0,0,0,0,0.8502487562189055,8.524426964478117,1
0.8850247116968699,4,1,0,0,0,1,0,0.8681592039800995,7.895826991950878,0
0.9425244132464244,8,1,0,1,1,0,0,0.945273631840796,8.974003925875945,0
0.16204378405778735,7,1,1,0,0,0,1,0.02388059701492536,6.930445888901835,0
0.8564691277815162,9,1,0,1,0,0,0,0.8800995024875622,8.90683374917743,0
0.4352141680395387,2,1,0,0,1,0,0,0.36766169154228856,6.26975894288704,1
0.7307209539499491,4,1,0,0,0,1,0,0.7144278606965174,7.529889692295663,0
0.32660626029654033,0,0,0,0,0,1,0,0.21293532338308457,3.680090948080857,1
